,曲名,歌詞
0,アガパンサス,波のようにしなやかに踊る君と揺らめく火のように静かにたたずむ僕はその心を掴める言葉(セリフ)で引き寄せられる自信はないけれどあの花に宿る花言葉が二人にはふさわしい Please feel my heart紫の花火が舞い上がる夜空にまた恋をして何度でも君だけの瞳に咲く花びらを見つめるたびに　ときめいた風のように彼方に記憶が消えても白い砂のように掌に残る夢は何をしていても何処にいてもこの想いだけは握り締めてるから燃え尽きそうな空を見上げては張り裂けてしまうほど I miss you紫のドレスに身を包んだ君の面影がまだ目にうつる全てをいつも彩っているのにあの花だけは　儚く…Everyday anytime grow up 蕾花咲く度に　募る想い何度目　なんだろうまるで　初恋かのよう止めたい時計の針零れ落ちる清い透明永遠に　君と花を散らさないようたとえ生まれ変わっても雨上がりの香りが終わりを告げるならもう少しだけGive me your smileいつまでも弾けては響くこのリズムに胸は高鳴りとめどなく開いては散りゆくこの運命にただ切なくて紫の花火が舞い上がる夜空にまた恋をして何度でも君だけの瞳に咲く花びらを見つめるたびに　ときめいた
0,HEMERA,呆れる程の　山積みの備忘録遠く聞こえた“もう捨てていいんだよ”いつの間にやら膨れ上がった防衛本能が抗う事恐れていたけど “いつか…”希望のタイマーは“今だ”顔を上げた時人をまとった光の天使が舞い降りた yeahYou're so beautiful恋旅で愛を探して今思うのさ I need you In my lifeHemera la laHemera la laMy love　描いた未来図は光模様Hemera la Hemera la make me feel itHemera la Hemera la1人で迷路を歩いてた日々もおそらくキミに導かれてた幸せはどこか切なさの色味だから怯えながら遠ざけていたけど気づいた夢見るダイバーはもう一度愛に飛び込んだ目が眩むような優しい声に包まれた yeahYou're so beautiful恋旅で愛を探して今思うのさ I need you In my lifeHemera la laHemera la laMy love　描いた未来図は光模様キミが眠ると昼間の間隠れてた星達が空を飾る静かに願うずっと 2人で I wish… いれますように恋旅で愛を探して今思うのさ I need you In my lifeHemera la laHemera la laMy love　描いた未来図は光模様Hemera la Hemera laHemera la Hemera la 笑っていて
0,Freedom,You and I掌　重ねた日々がI don't know why時の中　声も聞こえない where we are now当たり前なことなんて　全てが日常じゃなくて壊れないように抱えた　小さな願いYou and I手探り見つけた　僕らのNew Days見上げていた　あのステージはいつもいつも　ただ眩しくて溢れる想いのまま何度も手を伸ばした数え切れない memories全て色鮮やかにそこから繋がった今日までのヒストリー心解き放ち freedom freedom出会えたあの奇跡を今でも覚えているここから始まる幾つものストーリー今もこれからも freedom freedomAll About freedomThink of you今何を考えているのI miss you想い歌に乗せて届けに行こうひとりひとり　抱えてるコトひとつひとつ　乗り越えてきた寄り添う　目に見えないモノ感じ合える　I feel your love語り切れない memories時の流れを超えて共に笑い泣いた日もあるけど忘れられないよ freedom freedom夢のようなso precious Days願いが今　重なる刻まれる幸せを噛み締め希望を力に freedom freedomAll About freedom当たり前なことなんて　全てが日常じゃなくて壊れないように抱えた　小さな願い今からもっと大きな願いを叶えに行こうI believe in your dreams聞こえる melody'sIt's All About freedom数え切れない memories全て色鮮やかにそこから繋がった今日までのヒストリー心解き放ち freedom freedom出会えたあの奇跡を今でも覚えているここから始まる幾つものストーリー今もこれからも freedom freedomAll About freedom
0,DOWN TOWN TOKYO,hey yo百花繚乱　スクランブルの交差点(ランウェイ)歌舞いて踊る U&IHey Let's go急かすような人波、タイムライン見極めては探し出したいコンクリートハートを溶かすような愛すり抜けた ROUTE246甘い秘密　分け合うように見つけた LUXURY　君とふたり占めにしてDOWN TOWN SLAMIN' NIGHTJUST SAY YEAHSO IT'S TOKYO POPJUST SAY WOWネオンの星たちが照らすシグネチャーピース纏い現代(いま)をエスコート MA BAEBOUNCE WIT ME NOW　飛び込みなSLAMIN' NIGHT…経年優化　日々生まれ変わってくICONICなこの街でギャツビーに彩る LIFE STYLE正解もUPDATEしていたい過去＋今×未来(カコ プラス イマ カケル ミライ)誤魔化せない ART & STREET本物だけが紡いでく STORY夢見る心　強く掴んで離さないDOWN TOWN SLAMIN' NIGHTJUST SAY YEAHSO IT'S TOKYO POPJUST SAY WOWネオンの星たちが照らすシグネチャーピース纏い現代(いま)をエスコート MA BAEBOUNCE WIT ME NOW　飛び込みなSLAMIN' NIGHT…LET'S JUMP IN MA G-WAGON街風を浴びて CRUISIN'眠らぬ BIG CITY トキオカケル TONIGHTLET'S JUMP IN MA RARI君を乗せ飛ばす首都高(ハイウェイ)東京タワー横目に覚めない夢まで FLYDOWN TOWN SLAMIN' NIGHTJUST SAY YEAHSO IT'S TOKYO POPJUST SAY WOWネオンの星たちが照らすシグネチャーピース纏い現代(いま)をエスコート MA BAEBOUNCE WIT ME NOW　飛び込みなSLAMIN' NIGHT…
0,NEO UNIVERSE,"Fly to the future見逃すな目の前広がるNeo UniverseYeahYeahWake Up リズムステーションから目的地をセットして Time to goYeah YeahMic jackで音符にRide on鳴らしてくpow pow pow Harder加速する退屈ならbang bang bang bang Ahh Bye nowFollow me ここはGlory or Dead な世界Make you feel 栄光をオーダーメイドWe say oh say oh　期待したい兆し琥珀が過去と未来染めてくみたいにSun rise 光が昇る to the surface今積み上げてきた軌跡と記憶と共にまだ見た事ないような世界へGo！ 赤道線からNew world大気圏外まで伸びてくFree wayGo！ 独創像的New vogueRunnin' nowI can make it　リスキーな道もWe can make it　スリル Give me moreDon't matter　まだ落とせないBPM(Take you higher Take you higher higher)No way back見逃すなNo way backHey HeyNo way back目の前広がるNeo UniverseCan't stop　時代の衰退も繰り返しタップしてアップデートWe say oh say oh　叫び果てるまで遥か南の天の星座みたいなStarlight 常に放つ like a Phoenix誰にも真似できない輝きを永遠のようにまだ見た事ないような世界へGo！ 赤道線からNew world大気圏外まで伸びてくFree wayGo！ 独創像的New vogueRunnin' nowI can make it　リスキーな道もWe can make it　スリル Give me moreDon't matter　まだ落とせないBPM(Take you higher Take you higher higher)想像を超えていくテクノロジー複雑さを増すサイコロジーWhat's my name？What's my name？What's my name？追いかけてくるQuestionOh OhBelieve in oneself, Believe in yourselfOh Ohこの声をキミにまだ見た事ないような世界へGo！ 赤道線からNew world大気圏外まで伸びてくFree wayGo！ 独創像的New vogueRunnin' nowI can make it　リスキーな道もWe can make it　スリル Give me moreDon't matter　まだ落とせないBPM(Take you higher Take you higher higher)No way back見逃すなNo way backHey HeyNo way backWe gon' be bumping, bumpingNo way back見逃すなNo way backHey HeyNo way back目の前広がるNeo Universe"
0,STAY WITH ME,何故だろう…　聴き慣れたはずのあの歌に　涙が溢れた変わることなく　過ごしてた日々の中で一番の幸せはきっと自分だけの　心が感じてる今を生きよう　愛する君のためにStay with me　君がいれば自分を大切にできるStay with me　君がいるだけで負けずにいられるやり場のない　寂しさに慣れてしまいそうで寄り添って確かめ合った真実の愛の行方をStay with me　君がいれば旅立つ空もきっと蒼くてStay with me　痛みも分け合って果てしない夢を共に生きていこう
0,I Wish For You,"いつでも君の為にI wish幸せを願う事こそが愛夢を見れば恋をすれば誰にでも悩める日が来るからI wish, I wish, I wish for youI wish, I wish, I wish for youI wish, I wish, I wish for you always babyどうせ自分を騙せないDeep downだから自分で変えていくしかないKeep up沈まない太陽欠けない月のようなデザイア守りたい救いたいメサイアのようにいつでも君の為にI wish幸せを願う事こそが愛夢を見れば恋をすれば誰にでも悩める日が来るからI wish, I wish, I wish for youI wish, I wish, I wish for youI wish, I wish, I wish for you always baby望むのなら叶うまでDo it all掴めるのなら迷わずTake it all雨を見つめているより走り出して行くような心には光がさすHold on nowいつでも君の為にI wish幸せを願う事こそが愛夢を見れば恋をすれば誰にでも悩める日が来るからI wish, I wish, I wish for youI wish, I wish, I wish for youI wish, I wish, I wish for you always baby今が全てじゃない事など既に知っているだろう?移ろいゆくState of mindここにあらずOut of mindそれじゃ見えない辿り着けないまずは君が願いを掛けてRight place!Right time!Get set go!いつでも君の為にI wish幸せを願う事こそが愛夢を見れば恋をすれば誰にでも悩める日が来るからI wish, I wish, I wish for youI wish, I wish, I wish for youI wish, I wish, I wish for youI wish, I wishI wish, I wishI wish, I wishI wish, I wish for youいつでも君の為にI wish幸せを願う事こそが愛夢を見れば恋をすれば誰にでも悩める日が来るからI wish, I wish, I wish for youI wish, I wish, I wish for youI wish, I wish, I wish for you always baby"
0,愛すべき未来へ,いつまでも見つめてたい幸せそうなその笑顔広いこの地球のどこかで今日も泣いている人がいるのかな?いつも心にいる大切な人を思い幸せであってほしいと願う僕の小さな夢いつかなくしたものだってきっともう一度取り戻せるから僕は精一杯叫び続ける愛する気持ちまだ止めないで...いつか傷ついて優しい気持ちなくして夢を追いかける本当の意味さえ見えなくなってた子供たちが夢を持ったまま生きていってほしいと願うから今僕らはここで何をすべきか愛すべき僕らの未来のため幾千の星の中優しさを分け合う喜びを知り僕たちはこれからつないでゆくんだ希望と命の糸僕が笑顔でいられたらあなたの笑顔が見ていられるそう信じて僕は叫び続ける愛する気持ちまだ止めないで...愛すべき僕らの未来のため
0,eyes in maze,たった一度だけでいい自分に納得したいだけカッコなんてどうでもいい今度だけはまけたくないよいまは何が正しいのか　わからないけど　Oh-Eyes in mazeきっと見える…暗闇の出口ヘ　SoClose your eyes　こみあげる思いをここでぶつければいいまだ逃げそうになる限られた時の中期待してるだけじゃ理想のカタチ近づけやしない悩んだ日々は　決してムダにはしない　Oh-Eyes in mazeずっと消えぬあの痛みを奏でながらTake a chanceすこしでも近づく、いまは信じればいい臆病な自分に問いかけても悔やんだあの時は戻らない確かな答はひとつだけ探してもこれ以外他にないEyes in maze向きあえるいまならば変われるTake one more chance　感じてる何かをこの手につかむまでEyes in mazeきっと見える…暗闇の出口ヘ　SoClose your eyes　こみあげる思いをここでぶつければいい
0,"愛のために ～for love, for a child～","言葉だけじゃ伝えきれない…(for love, for a child)その想いを空に繋いでこう…(for love, for a child)いつか準備ができてから始めようって決めてたけど今　君が笑顔になれるならその準備はあとまわしときにはワガママに自分を貫いてもそれが誰かのためになるのならきっと間違いじゃない言葉だけじゃ伝えきれないその想いを空に繋いだらこんなにも大きな輪になって幸せの中に君がいたよ君との　思い出　離さない二度とない　この瞬間　忘れない生まれながらに苦しくて夢を見れない子どもたちがいて日々の生活に疲れ果てて空を見れない大人もいる苦しみの尺度はそれぞれ違うけれど少しずつでも希望はみえるはずそう信じていようよ…言葉だけじゃ伝えきれないその想いを空に繋いだらこんなにも大きな愛になって包まれてる僕がいたよ君との　思い出　離さない二度とない　この瞬間　忘れない最初から自信がある人なんていないから進みながらでいいんだfor love, for a child, for me, for you...言葉だけじゃ伝えきれない全ての想いを今ここに空高く強く掲げよう何かが動き出すはず…言葉だけじゃ伝えきれないその想いを空に繋いだらこんなにも大きな輪になって幸せの中に君がいたよ言葉だけじゃ伝えきれないその想いを空に繋いだらこんなにも大きな愛になって包まれてる僕がいたよ君との　思い出　離さない二度とない　この瞬間　忘れない"
